Date | Time | Description | Vendor | Amount
2023-01-12 | 14:25:36 | Monthly Rent | Property Manager | -1200  
2023-02-05 | 17:42:18 | Groceries | Costco | -350  
2023-02-19 | 09:10:55 | Invoice 1002 Paid | Gregor | 1800  
2023-03-22 | 15:32:07 | Dinner with Client | Olive Garden | -85.7  
2023-04-30 | 13:00:11 | Office Supplies | Staples | -62.5
2023-04-15 | 10:13:25 | Ergonomic Keyboard | Amazon | -89.5
2023-04-15 | 11:15:00 | Invoice 1001 Paid | Joe | 1500  
2023-05-15 | 10:22:44 | Car Maintenance | Jiffy Lube | -299.99  
2023-06-10 | 11:50:50 | Laptop Purchase | Best Buy | -1400
2023-06-18 | 02:45:32 | MK Invoice Paid | Roslyn | 750
2023-06-20 | 02:45:32 | MK Invoice Paid | Selena | 840
2023-06-24 | 02:45:32 | MK Invoice Paid | Jasmine | 364  
2023-08-20 | 07:45:12 | Project Payment | Anna | 2500  
2023-09-12 | 16:38:21 | Coffee Meeting | Starbucks | -14.75  
2023-10-08 | 12:20:48 | Marketing Consultation Fee | Julia | -500
2023-11-03 | 09:28:42 | Desk | Orain | 200  
2023-11-18 | 18:05:55 | Phone Bill | Verizon | -125  
2023-12-25 | 09:55:30 | Holiday Bonus Received | Employer | 3000
2024-01-07 | 08:16:14 | MK Quarterly Reup | Mary Kay |-2400   
2024-01-10 | 08:15:42 | Annual Software License | Adobe | -450  
2024-03-17 | 11:05:28 | Client Refund | Client A | -250
2024-04-14 | 08:16:14 | MK Quarterly Reup | Mary Kay |-2400   
2024-05-23 | 14:22:19 | Printer Ink | Office Depot | -79.99  
2024-06-12 | 10:14:03 | Website Hosting Fee | GoDaddy | -120
2024-07-27 | 08:16:14 | MK Quarterly Reup | Mary Kay |-2400
2024-07-27 | 02:45:32 | MK Invoice Paid | Melissa | 960
2024-07-29 | 02:45:32 | MK Invoice Paid | Sabrina | 340
2024-07-31 | 02:45:32 | MK Invoice Paid | Delores | 150   
2024-08-30 | 07:32:54 | Freelance Payment | Sophie | 1350  
2024-09-14 | 15:45:21 | Business Conference Fee | Eventbrite | -500  
2024-10-05 | 13:25:48 | Team Lunch | Chipotle | -112  
2024-10-10 | 09:45:37 | Subscription Renewal | Spotify | -9.99
2024-10-10 | 05:36:21 | MK Invoice Paid | A'jea | 960
2024-10-11 | 02:54:32 | MK Invoice Paid | Dasia | 540
2024-10-12 | 06:45:39 | MK Invoice Paid | Sinaia | 248 
2024-10-14 | 08:16:14 | MK Quarterly Reup | Mary Kay |-2400   